Council District,reports,council_district_name,population,households,housing_units,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_any_race,median_household_income,per_capita_income,unemployment_rate,poverty_rate,pct_households_cash_public_assistance,pct_households_ssi,pct_vacant_housing_units,pct_renter_occupied_among_occupied_units,rental_vacancy_rate,median_gross_rent,median_home_value,pct_bachelors_or_higher_proxy,pct_high_school_grad_proxy,pct_households_broadband,pct_with_disability_proxy,pct_language_other_than_english_proxy
30,683,City Council District 30,168364,61760,67121,0.442060060345442,0.01399942980684707,0.1819807084649925,0.3256456249554537,85778,41160,0.06743017926425816,0.1112134386642666,0.03745142487046632,0.04417098445595855,0.07987068130689352,0.5832091968911917,2.7,1961,868970,0.2509978380176285,0.2010406025040983,0.9116580310880829,0.09041125181155116,0.5804685087073246
28,322,City Council District 28,178304,54263,57462,0.02909076633165829,0.4315663137114142,0.1964061378320172,0.1736584709260589,83911,32889,0.09980720424368512,0.1175723502616294,0.07244346976761329,0.0647955328676999,0.05567157425777036,0.440889740707296,2.8,1639,625614,0.1466091618808327,0.2320755563531945,0.9233732008919522,0.1056454145728643,0.2621365757358219
10,742,City Council District 10,192985,73172,78342,0.2048604813845636,0.07391766199445553,0.03271756872295774,0.6521232220120735,65521,42187,0.1208556348498365,0.1835551060400139,0.07702399825069699,0.1028535505384573,0.06599269868014603,0.8834936861094408,2.7,1640,583821,0.2920175143145841,0.1335077855791901,0.8918985404252993,0.1661113558048553,0.6191154752960074
38,620,City Council District 38,159940,54612,58911,0.2784544204076529,0.0542078279354758,0.2771101663123671,0.3634738026760035,73625,37090,0.06359123799175166,0.191609087603116,0.06309968505090456,0.08148392294733758,0.07297448693792331,0.6983446861495642,2.7,1763,1124364,0.2336626234838064,0.1630236338626985,0.8823152420713396,0.1007752907340253,0.6154432912342128
17,690,City Council District 17,164421,62793,65330,0.01406146416820236,0.2878707707652916,0.00934795433673314,0.6569112218025678,36780,21333,0.1345952965754778,0.3455775291667434,0.1293615530393515,0.1454939244820282,0.03883361395989592,0.8921058079722262,1.9,1221,530922,0.0951703249584907,0.1779821312362776,0.8035131304444763,0.1889661296306433,0.5691426277665261
15,606,City Council District 15,171040,61896,65205,0.04425280636108513,0.2575070159027128,0.01634120673526661,0.6597579513564079,38455,20429,0.1369209809264305,0.3437031687279949,0.1070990047822153,0.1384095902804705,0.05074764205198988,0.9395760630735428,2.8,1410,428461,0.0930367165575304,0.1779232927970066,0.8626082460902158,0.1744913470533209,0.608015668849392
47,475,City Council District 47,170229,67045,72639,0.4850877347572975,0.0975215738798912,0.1848686181555434,0.1936685288640596,70253,40549,0.08241379310344828,0.1835683957362154,0.05591766723842195,0.1091058244462674,0.07701097206734674,0.6742038929077485,2.4,1646,925128,0.2945561567065541,0.1663288863824613,0.882437169065553,0.1366277191312879,0.5136610095812112
5,825,City Council District 5,161667,85135,104736,0.7197449077424583,0.0373793043725683,0.1131276017987592,0.08999981443337231,145854,127342,0.04211231303147769,0.07822384962160875,0.02067304868737887,0.02276384565689787,0.1871467308279866,0.6790861572796147,7.2,2729,1138862,0.6480110350287938,0.05394421867171408,0.9504316673518528,0.08629466743367539,0.2703396487842293
1,421,City Council District 1,166373,79857,93924,0.4578086588569059,0.0553334976228114,0.3029578116641523,0.1379791192080446,116657,111125,0.05077750532295987,0.1468482658513234,0.04470491002667268,0.06122193420739572,0.1497700268302032,0.7554754122994853,4.7,2398,1290132,0.4913297229718764,0.08254945213466128,0.8991071540378427,0.08808520613320671,0.3837161077819117
20,227,City Council District 20,153202,58444,61574,0.1165911672171382,0.02252581558987481,0.6917337893761178,0.14172138744925,58248,32545,0.06780849489034034,0.1918552095911109,0.04963725959893231,0.07422489904866196,0.05083314385942118,0.6211244952433098,3.1,1720,792998,0.2226145872769285,0.218319604182713,0.8552289371021833,0.1005535175780995,0.7643111708724429
12,360,City Council District 12,177974,66568,70469,0.03001000146088754,0.5965646667490757,0.02047490082821086,0.3126243159113129,62088,30628,0.08653420577293444,0.1937457434083638,0.0660377358490566,0.09379882225694028,0.05535767500603102,0.6116452349477226,2.5,1411,476671,0.1720082708710261,0.2044174991852742,0.8468783800024036,0.1412397316461955,0.3214514479643094
44,261,City Council District 44,165087,47757,53306,0.7064456922713478,0.02421753378521628,0.1235288060234906,0.09247851133038944,64043,27139,0.06534590190126219,0.2496464104564963,0.04332349184412757,0.0732248675586825,0.1040970997636289,0.6712314425110455,2.5,1763,1136443,0.1748229721298467,0.1653310072870668,0.759176665200913,0.0786797264472672,0.5865695057757425
48,399,City Council District 48,170621,70423,75258,0.6860409914371619,0.02361960133863944,0.154840259991443,0.08153158169275763,64152,40144,0.06055043532576134,0.1705001653048694,0.04683129091347997,0.1063856978543942,0.06424566159079434,0.6213736989335871,2.9,1663,770420,0.3536317334911881,0.1597400085569771,0.8675290743081095,0.139871410904871,0.6582894251000756
45,577,City Council District 45,157402,58398,62962,0.2197557845516575,0.5596688733307074,0.06341088423272893,0.08743853318255168,80559,41420,0.07613026482824499,0.1304730557256583,0.03916230007876982,0.06299873283331621,0.07248816746609066,0.5589403746703654,2.5,1686,732071,0.258243224355472,0.186585939187558,0.9005445391965479,0.1118219590602407,0.3127025069567096
33,616,City Council District 33,168427,69209,75781,0.7162450200977278,0.03954235366063636,0.07711352692858034,0.1087236606957317,144349,84988,0.05734041138625508,0.1843475844067961,0.0427256570677224,0.02517013683191493,0.08672358506749712,0.7306419685301044,3.3,2910,1282281,0.4607871659532023,0.07986842964607813,0.884075770492277,0.05728891448520724,0.38831660007006
27,320,City Council District 27,170897,52028,55057,0.02657741212543228,0.6082318589559793,0.1159879927675734,0.1624838352926032,88093,34694,0.07973762426975504,0.1097904248273252,0.06884754363035289,0.06640655031905897,0.0550157109904281,0.4279042054278465,3.9,1725,632010,0.1811383464894059,0.1983885030164368,0.9112593219035904,0.107673042826966,0.3076238904135239
